D_{s_{BAT_{1}}},C_{s_{BAT_{1}}},G_{s_{BAT_{1}}},E_{s_{BAT_{1}}},T,Q_{h_{UHE_{1}}},V_{h_{UHE_{1}}},G_{h_{UHE_{1}}},S_{h_{UHE_{1}}},CMA_{h_{UHE_{1}}},Q_{h_{UHE_{2}}},V_{h_{UHE_{2}}},G_{h_{UHE_{2}}},S_{h_{UHE_{2}}},CMA_{h_{UHE_{2}}},G_{t_{UT_{1}}},G_{t_{UT_{2}}},G_{r_{EOL_{1}}},G_{r_{SOL_{1}}},Ge_{Total},Demand,Deficit,Cost_{var},Cost_{def},Cost_{total},CMO,FC
9.5,0.0,9.5,50.0,1,16.0,100.0,15.2,0.0,9.5,0.0,145.0,0.0,0.0,22.5,20.3,0.0,30.0,25.0,100.0,100.0,0.0,203.0,0.0,203.0,10.0,4405.0
0.0,0.0,0.0,50.0,2,26.315789,87.684211,25.0,0.0,23.75,0.0,157.0,0.0,0.0,22.5,30.0,20.0,25.0,20.0,120.0,120.0,0.0,800.0,0.0,800.0,25.0,3605.0
0.0,0.0,0.0,50.0,3,0.0,98.684211,0.0,0.0,23.75,33.333333,133.66667,30.0,0.0,22.5,30.0,20.0,40.0,30.0,150.0,150.0,0.0,800.0,0.0,800.0,25.0,2805.0
0.0,0.0,0.0,50.0,4,14.684211,100.0,13.95,0.0,23.75,0.0,148.66667,0.0,0.0,22.5,30.0,1.0499995,30.0,25.0,99.9999995,100.0,0.0,326.2499875,0.0,326.2499875,25.0,2478.7499
0.0,0.0,0.0,50.0,5,14.0,100.0,13.3,0.0,23.75,42.833333,117.83334,38.55,0.0,22.5,30.0,3.1500001,25.0,10.0,120.0000001,120.0,0.0,378.7500025,0.0,378.7500025,25.0,2099.9999
0.0,0.0,0.0,50.0,6,52.631579,58.368421,50.0,0.0,9.5,0.0,127.83334,0.0,0.0,9.0,30.0,0.0,40.0,30.0,150.0,150.0,0.0,300.0,0.0,300.0,10.0,1799.9999
0.0,0.0,0.0,50.0,7,0.0,74.368421,0.0,0.0,9.5,16.666674,126.16667,15.000006,0.0,9.0,29.999994,0.0,30.0,25.0,100.0,100.0,0.0,299.99994000000004,0.0,299.99994000000004,10.0,1500.0
0.0,0.0,0.0,50.0,8,0.0,88.368421,0.0,0.0,9.5,61.111111,77.055559,55.0,0.0,9.0,30.0,0.0,25.0,10.0,120.0,120.0,0.0,300.0,0.0,300.0,10.0,1200.0
0.0,0.0,0.0,50.0,9,8.0526283,91.315793,7.6499969,0.0,9.5,47.055559,40.0,42.350003,0.0,9.0,30.0,0.0,40.0,30.0,149.9999999,150.0,0.0,300.0,0.0,300.0,10.0,899.99998
0.0,0.0,0.0,50.0,10,22.631579,84.684214,21.5,0.0,9.5,15.0,40.0,13.5,0.0,9.0,30.0,0.0,25.0,10.0,100.0,100.0,0.0,300.0,0.0,300.0,10.0,599.99997
0.0,0.0,0.0,50.0,11,46.526316,52.157898,44.2,0.0,9.5,12.0,40.0,10.8,0.0,9.0,30.0,0.0,25.0,10.0,120.0,120.0,0.0,300.0,0.0,300.0,10.0,299.99997
0.0,0.0,0.0,50.0,12,43.157898,20.0,41.000003,0.0,9.5,10.0,40.0,9.0,0.0,9.0,29.999997,0.0,40.0,30.0,150.0,150.0,0.0,299.99997,0.0,299.99997,10.0,0.0
